which_bank,census_tract,accept,received,loan_amount,income
All Other Banks,4013108502.0,0,7,1455000.0,71.0
All Other Banks,4013108602.0,0,6,1680000.0,136.5
All Other Banks,4013108802.0,0,1,105000.0,67.0
All Other Banks,4013108901.0,0,2,390000.0,68.5
All Other Banks,4013108902.0,0,6,1580000.0,61.0
All Other Banks,4013109001.0,0,1,215000.0,103.0
All Other Banks,4013109003.0,0,1,265000.0,80.0
All Other Banks,4013109101.0,0,2,390000.0,65.5
All Other Banks,4013109102.0,0,6,1380000.0,52.0
All Other Banks,4013109200.0,1,4,760000.0,31.0
All Other Banks,4013109300.0,1,6,970000.0,50.0
All Other Banks,4013109400.0,2,6,1550000.0,59.0
All Other Banks,4013109500.0,1,8,1750000.0,49.0
All Other Banks,4013109601.0,1,6,700000.0,56.0
All Other Banks,4013109602.0,0,4,530000.0,37.5
All Other Banks,4013109603.0,5,8,1750000.0,39.0
All Other Banks,4013109604.0,2,6,780000.0,63.5
All Other Banks,4013109701.0,2,3,255000.0,27.0
All Other Banks,4013109702.0,0,5,955000.0,73.0
All Other Banks,4013109704.0,0,1,205000.0,34.0
All Other Banks,4013109705.0,0,1,235000.0,46.0
All Other Banks,4013109801.0,1,5,675000.0,61.0
All Other Banks,4013109802.0,0,4,810000.0,57.5
All Other Banks,4013109900.0,0,7,975000.0,27.5
All Other Banks,4013110001.0,0,3,515000.0,105.5
All Other Banks,4013110002.0,0,6,1160000.0,47.5
All Other Banks,4013110100.0,0,4,900000.0,43.0
All Other Banks,4013110400.0,0,16,4290000.0,84.0
All Other Banks,4013110501.0,0,1,205000.0,57.0
All Other Banks,4013110502.0,1,3,445000.0,72.0
All Other Banks,4013110600.0,0,5,1505000.0,100.0
All Other Banks,4013110701.0,0,1,105000.0,42.0
All Other Banks,4013110702.0,0,5,1595000.0,93.0
All Other Banks,4013110801.0,0,7,1455000.0,49.0
All Other Banks,4013110802.0,2,7,1725000.0,76.0
All Other Banks,4013110901.0,1,4,1520000.0,82.5
All Other Banks,4013110902.0,0,3,1415000.0,129.0
All Other Banks,4013111000.0,1,8,4790000.0,163.0
All Other Banks,4013111100.0,5,9,3855000.0,114.0
All Other Banks,4013111201.0,0,5,1225000.0,70.0
All Other Banks,4013111204.0,0,1,215000.0,51.0
All Other Banks,4013111300.0,2,9,2515000.0,98.0
All Other Banks,4013111401.0,0,4,810000.0,121.5
All Other Banks,4013111501.0,0,2,240000.0,58.0
All Other Banks,4013111601.0,1,2,440000.0,96.0
All Other Banks,4013111602.0,1,5,1355000.0,86.0
All Other Banks,4013111700.0,2,9,2485000.0,102.5
All Other Banks,4013111800.0,4,16,5560000.0,91.0
All Other Banks,4013111900.0,0,4,2060000.0,202.0
All Other Banks,4013112100.0,1,2,370000.0,128.0
All Other Banks,4013112201.0,1,4,790000.0,33.0
All Other Banks,4013112202.0,0,1,135000.0,43.0
All Other Banks,4013112301.0,1,5,875000.0,37.0
All Other Banks,4013112302.0,0,4,900000.0,40.0
All Other Banks,4013112401.0,0,3,680000.0,44.0
All Other Banks,4013112402.0,0,1,25000.0,53.0
All Other Banks,4013112502.0,0,2,440000.0,55.0
All Other Banks,4013112503.0,0,6,1040000.0,44.0
All Other Banks,4013112504.0,1,2,260000.0,63.0
All Other Banks,4013112505.0,1,6,980000.0,38.0
All Other Banks,4013112509.0,2,10,1940000.0,59.0
All Other Banks,4013112510.0,1,4,910000.0,51.5
All Other Banks,4013112511.0,5,20,5110000.0,60.0
All Other Banks,4013112513.0,3,17,3695000.0,62.0
All Other Banks,4013112514.0,0,4,720000.0,50.0
All Other Banks,4013112602.0,0,2,610000.0,74.0
All Other Banks,4013112900.0,0,2,760000.0,425.5
All Other Banks,4013113000.0,0,4,1100000.0,266.0
All Other Banks,4013113100.0,0,1,2285000.0,
All Other Banks,4013113201.0,0,1,245000.0,
All Other Banks,4013113203.0,0,2,400000.0,35.0
All Other Banks,4013113300.0,1,1,235000.0,62.0
All Other Banks,4013113501.0,0,3,385000.0,11.5
All Other Banks,4013113502.0,0,1,395000.0,128.0
All Other Banks,4013113601.0,1,3,525000.0,24.0
All Other Banks,4013113602.0,0,1,195000.0,68.0
All Other Banks,4013113700.0,1,3,615000.0,77.0
All Other Banks,4013113801.0,0,2,380000.0,143.0
All Other Banks,4013114200.0,0,1,125000.0,215.0
All Other Banks,4013114301.0,0,2,880000.0,92.5
All Other Banks,4013114302.0,0,1,225000.0,44.0
